Part;Value;Device;Package;Description;AVAILABILITY;DESCRIPTION;MF;MP;PACKAGE;PRICE;PROD_ID;PURCHASE-URL;SF_SKU
BT1;;BUTTON(3X4X2.5MM);BT_3X4MM_2.5MM;;;;;;;;;;
BZ1;BUZZER3;BUZZER3;BUZZER3;;;;;;;;;;
C1;10uF;C0603;603;;;;;;;;;;
C2;100nF;C0603;603;;;;;;;;;;
C3;100nF;C0603;603;;;;;;;;;;
C4;1uF;C0603;603;;;;;;;;;;
C5;1uF;C0603;603;;;;;;;;;;
C6;1uF;C0603;603;;;;;;;;;;
C7;1uF;C0603;603;;;;;;;;;;
C8;100nF;C0603;603;;;;;;;;;;
C9;100nF;C0603;603;;;;;;;;;;
C10;100nF;C0603;603;;;;;;;;;;
C11;100nF;C0603;603;;;;;;;;;;
C12;10uF;C0603;603;;;;;;;;;;
C13;10uF;C0603;603;;;;;;;;;;
C14;0.1uF;C0603;603;;;;;;;;;;
CO1;BATTERY_18650;BATTERY_18650;18650_BAT;;;;;;;;;;
CO2;6P_2.54;6P_2.54;6P_2.54MM;;;;;;;;;;
D1;ZENER;ZENER;SOD-80;;;;;;;;;;
DW01;DW01;DW01;SOT23_6;;;;;;;;;;
GREEN;LED;LED;LED3MM;;;;;;;;;;
LE1;LED;LED;LED3MM;;;;;;;;;;
LE2;LED;LED;LED3MM;;;;;;;;;;
LE3;LED;LED;LED3MM;;;;;;;;;;
LE4;LED;LED;LED3MM;;;;;;;;;;
LE5;LED0603;LED0603;0603P;;;;;;;;;;
M1;MOSFETN;MOSFETN;SOT23(1);;;;;;;;;;
M2;FS8205;FS8205;TSSOP-8;;;;;;;;;;
MICRO_USB;MICRO_USB;MICRO_USB;MUSB;;;;;;;;;;
R1;1M;R0603;603;;;;;;;;;;
R2;10k;R0603;603;;;;;;;;;;
R3;10k;R0603;603;;;;;;;;;;
R4;1k;R0603;603;;;;;;;;;;
R5;2k2;R0603;603;;;;;;;;;;
R6;1k2;R0603;603;;;;;;;;;;
R7;1k;R0603;603;;;;;;;;;;
R8;1k5;R0603;603;;;;;;;;;;
R9;1k5;R0603;603;;;;;;;;;;
R10;1k5;R0603;603;;;;;;;;;;
R11;1k;R0603;603;;;;;;;;;;
R12;2k;R0603;603;;;;;;;;;;
R13;0.4;R0603;603;;;;;;;;;;
R14;1k;R0603;603;;;;;;;;;;
R15;1k5;R0603;603;;;;;;;;;;
R16;100;R0603;603;;;;;;;;;;
RED;LED;LED;LED3MM;;;;;;;;;;
RT9193;RT9193;RT9193;SOT23_5;;;;;;;;;;
S1;SWITCH-SMD-12MM;SWITCH-SMD-12MM;TACTILE_SWITCH_SMD_12MM;Momentary Switch (Pushbutton) - SPST;;;;;;;SWCH-11967;;COM-12993
S2;SWITCH-SMD-12MM;SWITCH-SMD-12MM;TACTILE_SWITCH_SMD_12MM;Momentary Switch (Pushbutton) - SPST;;;;;;;SWCH-11967;;COM-12993
S3;SWITCH-SMD-12MM;SWITCH-SMD-12MM;TACTILE_SWITCH_SMD_12MM;Momentary Switch (Pushbutton) - SPST;;;;;;;SWCH-11967;;COM-12993
S4;SWITCH-SMD-12MM;SWITCH-SMD-12MM;TACTILE_SWITCH_SMD_12MM;Momentary Switch (Pushbutton) - SPST;;;;;;;SWCH-11967;;COM-12993
SWITCH;SS-12F23G4;SS-12F23G4;SS-12F23G4;;;;;;;;;;
TP4056;TP4056;TP4056;SOIC8E;;;;;;;;;;
U1;ESP32-C3-WROOM-02-N4;ESP32-C3-WROOM-02-N4;MODULE_ESP32-C3-WROOM-02-H4;WiFi Modules (802.11) (Engineering Samples) SMD module, ESP32-C3, 4MB SPI flash, PCB antenna, -40 C +105 C   Check availability  Check availability;In Stock; WiFi Modules (802.11) (Engineering Samples) SMD module, ESP32-C3, 4MB SPI flash, PCB antenna, -40 C +85 C ;Espressif Systems;ESP32-C3-WROOM-02-N4;Package ;None;;https://pricing.snapeda.com/search?q=ESP32-C3-WROOM-02-N4&ref=eda;
